epoch,loss,val_loss
0,0.40768213152224186,0.2836017421399239
1,0.2874270355592264,0.27348743795980074
2,0.27635455337978737,0.2676395699573755
3,0.2624200702874592,0.24764721184615804
4,0.24458756525611544,0.2355551144577436
5,0.22947597080001644,0.22487259818560557
6,0.22592168348246439,0.23060285500003652
7,0.23688020665579168,0.24223974426955922
8,0.24776692289409252,0.30205557360623314
9,0.24902820896061273,0.2441028946073076
10,0.23349296214910545,0.22889787312606633
11,0.2203281485486172,0.22349234296911957
12,0.21684771961310514,0.22807360024780174
13,0.22656087800706626,0.23553057971503058
14,0.2385593560746303,0.24879520796795962
15,0.23946346957101972,0.2369538774922114
16,0.22686294876269697,0.22974163132620373
17,0.21375964072766504,0.22437033364294978
18,0.20991654227746284,0.22953748584776304
19,0.2199719808726611,0.23533797071405074
20,0.23282174940987022,0.2411325353743304
21,0.23540048597436264,0.2354079004663097
22,0.22267894368038213,0.23065893946235663
23,0.20916848648358732,0.22550932276899946
24,0.20515785172919987,0.22958353502673012
25,0.21513403762204975,0.23743779226438955
26,0.22920571389282265,0.24500369594952054
27,0.23272233034827208,0.23855414470712405
28,0.21989710877339044,0.23162917200128544
29,0.20613496361340716,0.22621394037463383
30,0.2021480927049683,0.23027198653071274
31,0.21190881420607352,0.23662146095269002
32,0.22682241091679617,0.2407367472286878
33,0.2311225283787162,0.23738794337376562
34,0.2213370284744153,0.233317747666073
35,0.20524028004738198,0.22744012306579175
36,0.20099168037082635,0.2321996990397442
37,0.2101866658757776,0.23594727624727854
38,0.22528034676792882,0.2434232509563044
39,0.22895665691110187,0.2377926550655866
40,0.21535039023602895,0.23179166132583254
41,0.2020425054391748,0.22819735467556762
42,0.1979142567460013,0.23165737086353322
43,0.20689665118830183,0.23744136224021498
44,0.22195846518603518,0.24525103629372402
45,0.22727920557876857,0.23707188240558077
46,0.21411458552037477,0.23277897041124024
47,0.2000773527743093,0.2288959238146581
48,0.1960516002402094,0.23212160405763826
49,0.20508654948643057,0.23855488729317245
